month,value
06/2024,1376640
05/2024,1312682
04/2024,1185295
03/2024,1058439
02/2024,994760
01/2024,958651
2023,1167819
12/2023,942068
11/2023,985207
10/2023,1233926
09/2023,1322761
08/2023,1429995
07/2023,1413745
06/2023,1332329
05/2023,1253552
04/2023,1159765
03/2023,1015851
02/2023,967085
01/2023,942275
2022,1150819
12/2022,928023
11/2022,967449
10/2022,1190413
09/2022,1296304
08/2022,1422759
07/2022,1405313
06/2022,1324107
05/2022,1210652
04/2022,1136169
03/2022,1003143
02/2022,963754
01/2022,947536
2021,1056304
12/2021,940009
11/2021,972481
10/2021,1141037
09/2021,1177965
08/2021,1261234
07/2021,1228874
06/2021,1087220
05/2021,1021294
04/2021,982018
03/2021,959786
02/2021,946681
01/2021,946265
2020,982049
12/2020,947523
11/2020,953709
10/2020,964187
09/2020,984396
08/2020,1097115
07/2020,1088099
06/2020,958289
05/2020,955812
04/2020,956073
03/2020,975078
02/2020,966036
01/2020,934790
2019,1147057
12/2019,924372
11/2019,961478
10/2019,1193429
09/2019,1313352
08/2019,1424488
07/2019,1416360
06/2019,1326264
05/2019,1207676
04/2019,1130127
03/2019,990362
02/2019,943597
01/2019,918106
2018,1137215
12/2018,904015
11/2018,940807
10/2018,1184584
09/2018,1296268
08/2018,1414411
07/2018,1412616
06/2018,1316589
05/2018,1227706
04/2018,1101324
03/2018,993781
02/2018,934760
01/2018,903552
2017,1132810
12/2017,888961
11/2017,932807
10/2017,1176796
09/2017,1297685
08/2017,1434094
07/2017,1410411
06/2017,1323078
05/2017,1208711
04/2017,1109635
03/2017,974750
02/2017,925242
01/2017,895714
2016,1112982
12/2016,881968
11/2016,917846
10/2016,1158180
09/2016,1277626
08/2016,1415443
07/2016,1389232
06/2016,1287713
05/2016,1194213
04/2016,1055910
03/2016,976644
02/2016,909263
01/2016,881408
2015,1083921
12/2015,866370
11/2015,895204
10/2015,1108329
09/2015,1242048
08/2015,1388045
07/2015,1346565
06/2015,1243426
05/2015,1149958
04/2015,1038942
03/2015,942480
02/2015,898369
01/2015,872066
2014,1070796
12/2014,861154
11/2014,888125
10/2014,1091378
09/2014,1230372
08/2014,1364357
07/2014,1314991
06/2014,1233487
05/2014,1123326
04/2014,1037998
03/2014,933853
02/2014,890722
01/2014,865808
2013,1064255
12/2013,854134
11/2013,883758
10/2013,1089162
09/2013,1222068
08/2013,1349124
07/2013,1323679
06/2013,1218983
05/2013,1131581
04/2013,1000176
03/2013,932857
02/2013,886822
01/2013,863736
2012,1053217
12/2012,852860
11/2012,881809
10/2012,1069906
09/2012,1211241
08/2012,1340751
07/2012,1321848
06/2012,1206323
05/2012,1092524
04/2012,992908
03/2012,917097
02/2012,883708
01/2012,859251
2011,1036580
12/2011,847456
11/2011,877466
10/2011,1045408
09/2011,1177631
08/2011,1313148
07/2011,1277095
06/2011,1180395
05/2011,1072691
04/2011,990734
03/2011,912328
02/2011,878941
01/2011,852991
2010,1015556
12/2010,841416
11/2010,870970
10/2010,1025374
09/2010,1142340
08/2010,1273452
07/2010,1236615
06/2010,1137356
05/2010,1058354
04/2010,955932
03/2010,910826
02/2010,874810
01/2010,847041
2009,1006338
12/2009,833897
11/2009,863276
10/2009,1013202
09/2009,1117026
08/2009,1234168
07/2009,1234591
06/2009,1141618
05/2009,1048070
04/2009,969094
03/2009,899977
02/2009,870010
01/2009,840057
2008,1007253
12/2008,827383
11/2008,856811
10/2008,1026722
09/2008,1145095
08/2008,1258997
07/2008,1243281
06/2008,1140464
05/2008,1063015
04/2008,942730
03/2008,897104
02/2008,858058
01/2008,819559
2007,986021
12/2007,802801
